source,false_ind_smoothed
Scott Walker,0.5376743583375678
Mike Huckabee,0.47361664392131014
League of Conservation Voters,0.373647786137378
National Republican Congressional Committee,0.7190476235345942
Janet Napolitano,0.45825673861108385
Steve Stockman,0.5675002065046645
Mark Harris,0.373647786137378
Doug Stoner,0.5089723573851558
Moms Demand Action for Gun Sense In America,0.5089723573851558
BookerFail,0.5089723573851558
David Dewhurst,0.45831019288628216
Rene Garcia,0.5089723573851558
Jack Kingston,0.3035699743035331
Michael Bloomberg,0.2443931603082879
Ken Cuccinelli,0.5038127584117463
Kasim Reed,0.2335069558115319
Steve Lonegan,0.5058212984939561
Alberta Darling,0.4649951519983509
Steve Goreham,0.373647786137378
Doug Whitsett,0.4005608947136531
Pam Stewart,0.373647786137378
Marco Rubio,0.35790407422145876
Carly Fiorina,0.5070612390825165
Peter Barca,0.4649951519983509
Barry Smitherman,0.373647786137378
Bloggers,0.7809444874097736
Mike Lee,0.373647786137378
Karen Handel,0.43026717445225005
Barack Obama,0.275365703950403
Marijuana Policy Project,0.373647786137378
Ted Cruz,0.5419975414382582
Eric Cantor,0.5155621898001138
Mark Kelly,0.3291109834139506
Ron Kind,0.3291109834139506
James Langevin,0.4180222186107534
Jim Francesconi,0.373647786137378
George P. Bush,0.4483055949593076
Organizing for Action,0.373647786137378
Rand Paul,0.34663901042450834
John Cornyn,0.3056806907982669
Kathleen Sebelius,0.29406055034478956
Wendy Davis,0.2443931603082879
Kanye West,0.5089723573851558
Bill Foster,0.2657573057625379
Matt Bevin,0.373647786137378
Mitch McConnell,0.429685005243594
Rick Kriseman,0.3291109834139506
Al Sharpton,0.3291109834139506
Chain email,0.8495340646501044
DuBose Porter,0.3291109834139506
Rush Holt,0.2808979717977502
Ron Johnson,0.5232189764498788
James Vincent,0.373647786137378
Jeff Merkley,0.1794143865994015
Mary  Taylor,0.4483055949593076
Kathleen Ford,0.5070612390825165
Ellen Rosenblum,0.4483055949593076
Jeb Hensarling,0.45825673861108385
Jim Hightower,0.5675002065046645
Federation for American Immigration Reform,0.4483055949593076
Mike Collins,0.373647786137378
Ted Deutch,0.373647786137378
Ramey Ko,0.5089723573851558
Paul Ryan,0.4690944471848791
Jan Schakowsky,0.373647786137378
Alan Krueger,0.373647786137378
Susan Collins,0.373647786137378
Nancy  Gordeuk,0.373647786137378
ForAmerica,0.5089723573851558
Michelle Nunn,0.373647786137378
Terry McAuliffe,0.5955666143022901
Brian Schatz,0.373647786137378
Chris Christie,0.3365931046824005
Gwen Moore,0.5393548734120608
Elizabeth Roberts,0.3620070221868109
Lone Star Project,0.3620070221868109
Dan Patrick,0.38428256315094195
Tom Cole,0.3291109834139506
Florida Democratic Party,0.5028346950686416
Don Lemon,0.3291109834139506
Kari Chisholm,0.5089723573851558
Tom Pauken,0.5089723573851558
Harry Reid,0.5455886646571445
Rob Portman,0.25352907990816315
David Cicilline,0.48572877185354046
Louie Gohmert,0.6814194582603613
Tom Fanning,0.373647786137378
Dream Defenders,0.373647786137378
Sarah Palin,0.5173694206812515
Charles Kuck,0.373647786137378
Oregon Catalyst,0.5089723573851558
John Boehner,0.5315998446909962
Sean Duffy,0.38428256315094195
Helio Melo,0.5675002065046645
Teresa Tanzi,0.5089723573851558
Leticia Van de Putte,0.38428256315094195
Republican Party of Florida,0.5613182583815272
Portlanders for Water Reform,0.5089723573851558
Dave Hansen,0.5089723573851558
Americans for Prosperity,0.6342658025616063
Sheila Oliver,0.3035699743035331
BuzzFeed,0.5089723573851558
Newt Gingrich,0.5586010021294101
Jesse  Jackson,0.4483055949593076
American Postal Workers Union,0.373647786137378
Instagram posts,0.5089723573851558
Rick Scott,0.35692834107479665
Roger Williams,0.5457077408457598
Michele Bachmann,0.7194062549607702
Will Weatherford,0.41252416694178956
Democratic Party of Virginia,0.5070612390825165
Al Gore,0.3291109834139506
Pink Pony,0.3291109834139506
Sheldon Whitehouse,0.3019754984012472
Portland Bureau of Transportation (PBOT),0.373647786137378
Facebook posts,0.4557359249520548
Nikema  Williams,0.373647786137378
Robert Reich,0.4483055949593076
Lincoln Chafee,0.5613182583815272
Tweets,0.4483055949593076
Elliott Naishtat,0.29406055034478956
David Sutton,0.373647786137378
Karl Rove,0.41252416694178956
Barbara Buono,0.3628449397537808
Patricia Morgan,0.4483055949593076
Jeff Kruse,0.5070612390825165
Judicial Watch,0.5089723573851558
Gilberto Hinojosa,0.5545064550353569
Robert Menendez,0.36765932516028993
Dave Schwartz,0.373647786137378
Larry Elder,0.5089723573851558
Rachel Campos-Duffy,0.5089723573851558
Miami-Dade County,0.5089723573851558
Ohio Democratic Party,0.5038127584117463
Rick Perry,0.4729437567013457
Jonathan Stickland,0.5089723573851558
Allen West,0.6351402430976609
Jeb Bush,0.22948171958128916
Bill Johnson,0.6135615834513801
Charlene Lima,0.4483055949593076
