source,n_false,n_total,false_ind,false_ind_smoothed
Scott Walker,73,154,0.474025974025974,0.47235670912188144
Mike Huckabee,17,35,0.4857142857142857,0.4774412757047108
League of Conservation Voters,0,2,0.0,0.3291109834139506
National Republican Congressional Committee,31,45,0.6888888888888889,0.6569635892183018
Janet Napolitano,2,4,0.5,0.45825673861108385
Steve Stockman,5,5,1.0,0.6814194582603613
Mark Harris,0,2,0.0,0.3291109834139506
Doug Stoner,1,1,1.0,0.5089723573851558
Moms Demand Action for Gun Sense In America,1,2,0.5,0.4483055949593076
BookerFail,1,2,0.5,0.4483055949593076
David Dewhurst,21,40,0.525,0.5122075206402223
Rene Garcia,1,1,1.0,0.5089723573851558
Jack Kingston,4,12,0.3333333333333333,0.36765932516028993
Michael Bloomberg,2,10,0.2,0.29049586870145594
Ken Cuccinelli,12,19,0.631578947368421,0.5813836832115901
Kasim Reed,2,19,0.10526315789473684,0.18752226547827122
Steve Lonegan,3,7,0.42857142857142855,0.43026717445225005
Alberta Darling,3,8,0.375,0.40036599940193085
Steve Goreham,0,1,0.0,0.373647786137378
Doug Whitsett,1,4,0.25,0.3620070221868109
Pam Stewart,0,2,0.0,0.3291109834139506
Marco Rubio,40,103,0.3883495145631068,0.39090651188808634
Carly Fiorina,5,9,0.5555555555555556,0.5043082551438335
Peter Barca,3,8,0.375,0.40036599940193085
Barry Smitherman,1,3,0.3333333333333333,0.4005608947136531
Bloggers,53,61,0.8688524590163934,0.8274435383919021
Mike Lee,0,2,0.0,0.3291109834139506
Karen Handel,3,11,0.2727272727272727,0.3312962585024038
Barack Obama,146,562,0.2597864768683274,0.26172384623033623
Marijuana Policy Project,0,1,0.0,0.373647786137378
Ted Cruz,35,52,0.6730769230769231,0.646709285299425
Eric Cantor,19,34,0.5588235294117647,0.5387798074263647
Mark Kelly,0,2,0.0,0.3291109834139506
Ron Kind,0,2,0.0,0.3291109834139506
James Langevin,2,6,0.3333333333333333,0.38428256315094195
Jim Francesconi,1,3,0.3333333333333333,0.4005608947136531
George P. Bush,2,3,0.6666666666666666,0.5070612390825165
Organizing for Action,0,2,0.0,0.3291109834139506
Rand Paul,14,42,0.3333333333333333,0.346378329196532
John Cornyn,9,25,0.36,0.3746816664771668
Kathleen Sebelius,2,7,0.2857142857142857,0.35558257312500013
Wendy Davis,5,24,0.20833333333333334,0.2553871235267307
Kanye West,1,1,1.0,0.5089723573851558
Bill Foster,1,6,0.16666666666666666,0.3035699743035331
Matt Bevin,2,3,0.6666666666666666,0.5070612390825165
Mitch McConnell,11,24,0.4583333333333333,0.45282282209256763
Rick Kriseman,2,4,0.5,0.45825673861108385
Al Sharpton,3,5,0.6,0.5058212984939561
Chain email,157,176,0.8920454545454546,0.87593309644159
DuBose Porter,0,2,0.0,0.3291109834139506
Rush Holt,1,7,0.14285714285714285,0.2808979717977502
Ron Johnson,14,27,0.5185185185185185,0.5019857206610876
James Vincent,0,1,0.0,0.373647786137378
Jeff Merkley,1,14,0.07142857142857142,0.18446244345351642
Mary  Taylor,1,2,0.5,0.4483055949593076
Kathleen Ford,2,3,0.6666666666666666,0.5070612390825165
Ellen Rosenblum,1,2,0.5,0.4483055949593076
Jeb Hensarling,3,5,0.6,0.5058212984939561
Jim Hightower,2,2,1.0,0.5675002065046645
Federation for American Immigration Reform,1,2,0.5,0.4483055949593076
Mike Collins,1,3,0.3333333333333333,0.4005608947136531
Ted Deutch,0,1,0.0,0.373647786137378
Ramey Ko,1,1,1.0,0.5089723573851558
Paul Ryan,23,49,0.46938775510204084,0.4650891851781455
Jan Schakowsky,0,2,0.0,0.3291109834139506
Alan Krueger,0,1,0.0,0.373647786137378
Susan Collins,0,1,0.0,0.373647786137378
Nancy  Gordeuk,0,1,0.0,0.373647786137378
ForAmerica,2,2,1.0,0.5675002065046645
Michelle Nunn,3,8,0.375,0.40036599940193085
Terry McAuliffe,15,22,0.6818181818181818,0.6256198519734716
Brian Schatz,0,1,0.0,0.373647786137378
Chris Christie,30,94,0.3191489361702128,0.3263396768198424
Gwen Moore,7,13,0.5384615384615384,0.5034194805360244
Elizabeth Roberts,1,5,0.2,0.33022313872755077
Lone Star Project,1,4,0.25,0.3620070221868109
Dan Patrick,9,17,0.5294117647058824,0.5028346950686416
Tom Cole,0,2,0.0,0.3291109834139506
Florida Democratic Party,12,24,0.5,0.48572877185354046
Don Lemon,1,3,0.3333333333333333,0.4005608947136531
Kari Chisholm,1,1,1.0,0.5089723573851558
Tom Pauken,1,1,1.0,0.5089723573851558
Harry Reid,11,21,0.5238095238095238,0.5024207144591636
Rob Portman,9,42,0.21428571428571427,0.2430504289130808
David Cicilline,12,27,0.4444444444444444,0.4420869035399332
